RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeMicrowave,SCL,Multifamily - Mid Rise Low Income,Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeMicrowave,SCL,Multifamily - High Rise Low Income,Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave
SCLSingle Family Low Income,SCLSingle Family Low IncomeMonitor,SCL,Single Family Low Income,Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeMonitor,SCL,Multifamily - Low Rise Low Income,Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeMonitor,SCL,Multifamily - Mid Rise Low Income,Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeMonitor,SCL,Multifamily - High Rise Low Income,Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor
SCLSingle Family Low Income,SCLSingle Family Low IncomeMultifunction Device,SCL,Single Family Low Income,Multifunction Device,Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one)
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeMultifunction Device,SCL,Multifamily - Low Rise Low Income,Multifunction Device,Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one)
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeMultifunction Device,SCL,Multifamily - Mid Rise Low Income,Multifunction Device,Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one)
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeMultifunction Device,SCL,Multifamily - High Rise Low Income,Multifunction Device,Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one)
SCLSingle Family Low Income,SCLSingle Family Low IncomeOther,SCL,Single Family Low Income,Other,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeOther,SCL,Multifamily - Low Rise Low Income,Other,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeOther,SCL,Multifamily - Mid Rise Low Income,Other,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeOther,SCL,Multifamily - High Rise Low Income,Other,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use
SCLSingle Family Low Income,SCLSingle Family Low IncomePlug Load Other,SCL,Single Family Low Income,Plug Load Other,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomePlug Load Other,SCL,Multifamily - Low Rise Low Income,Plug Load Other,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomePlug Load Other,SCL,Multifamily - Mid Rise Low Income,Plug Load Other,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomePlug Load Other,SCL,Multifamily - High Rise Low Income,Plug Load Other,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use
SCLSingle Family Low Income,SCLSingle Family Low IncomePool Pump,SCL,Single Family Low Income,Pool Pump,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed
SCLSingle Family Low Income,SCLSingle Family Low IncomePrinter,SCL,Single Family Low Income,Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomePrinter,SCL,Multifamily - Low Rise Low Income,Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomePrinter,SCL,Multifamily - Mid Rise Low Income,Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomePrinter,SCL,Multifamily - High Rise Low Income,Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer
SCLSingle Family Low Income,SCLSingle Family Low IncomeRefrigerator,SCL,Single Family Low Income,Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeRefrigerator,SCL,Multifamily - Low Rise Low Income,Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeRefrigerator,SCL,Multifamily - Mid Rise Low Income,Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeRefrigerator,SCL,Multifamily - High Rise Low Income,Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator
SCLSingle Family Low Income,SCLSingle Family Low IncomeSet Top Box,SCL,Single Family Low Income,Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeSet Top Box,SCL,Multifamily - Low Rise Low Income,Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeSet Top Box,SCL,Multifamily - Mid Rise Low Income,Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeSet Top Box,SCL,Multifamily - High Rise Low Income,Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box
SCLSingle Family Low Income,SCLSingle Family Low IncomeTelevision,SCL,Single Family Low Income,Television,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeTelevision,SCL,Multifamily - Low Rise Low Income,Television,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeTelevision,SCL,Multifamily - Mid Rise Low Income,Television,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeTelevision,SCL,Multifamily - High Rise Low Income,Television,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV
SCLSingle Family Low Income,SCLSingle Family Low IncomeVentilation - Air,SCL,Single Family Low Income,Ventilation - Air,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeVentilation - Air,SCL,Multifamily - Low Rise Low Income,Ventilation - Air,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeVentilation - Air,SCL,Multifamily - Mid Rise Low Income,Ventilation - Air,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeVentilation - Air,SCL,Multifamily - High Rise Low Income,Ventilation - Air,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor
SCLSingle Family Low Income,SCLSingle Family Low IncomeWaste Water,SCL,Single Family Low Income,Waste Water,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeWaste Water,SCL,Multifamily - Low Rise Low Income,Waste Water,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeWaste Water,SCL,Multifamily - Mid Rise Low Income,Waste Water,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use,Waste Water Equipment End Use
