Segment,End Use,Construction Vintage,Efficiency Level,Efficiency Description,Start Efficiency Share,End Efficiency Share,Start Year,End Year,Interpolate Efficiency Share,Customer Class
Multifamily - High Rise,Lighting Interior Linear Fluorescent,New,2,Market Average Linear Fluorescent,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Linear Fluorescent,New,3,TLED Linear Lamp,0.1,0.1,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,Existing,1,Incandescent - Specialty,0.161964889,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,Existing,2,EISA 2020 Backstop Interior - Specialty,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,Existing,3,CFL - Specialty,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,Existing,4,Market Average Lighting Interior - Specialty,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,Existing,5,LED - Specialty,0.8380351109999999,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,New,1,Incandescent - Specialty,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,New,2,EISA 2020 Backstop Interior - Specialty,0.161964889,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,New,3,CFL - Specialty,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,New,4,Market Average Lighting Interior - Specialty,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,New,5,LED - Specialty,0.8380351109999999,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,Existing,1,Incandescent - Below Standard,0.007330621999999999,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,Existing,2,Halogen - EISA Standard,0.090076202,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,Existing,3,EISA 2020 Backstop Interior Lamp,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,Existing,4,CFL,0.047160187,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,Existing,5,Market Average Lighting Interior,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,Existing,6,LED,0.8554329890000001,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,New,1,Incandescent - Below Standard,0.0,0.0,2021,2041,linear,Residential
