RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLSingle Family,SCLSingle FamilyDryer,SCL,Single Family,Dryer,Existing,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449
SCLSingle Family Low Income,SCLSingle Family Low IncomeDryer,SCL,Single Family Low Income,Dryer,Existing,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449,0.862275449
SCLMultifamily - High Rise,SCLMultifamily - High RiseDVD Player,SCL,Multifamily - High Rise,DVD Player,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeDVD Player,SCL,Multifamily - High Rise Low Income,DVD Player,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseDVD Player,SCL,Multifamily - Low Rise,DVD Player,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeDVD Player,SCL,Multifamily - Low Rise Low Income,DVD Player,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseDVD Player,SCL,Multifamily - Mid Rise,DVD Player,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeDVD Player,SCL,Multifamily - Mid Rise Low Income,DVD Player,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyDVD Player,SCL,Single Family,DVD Player,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeDVD Player,SCL,Single Family Low Income,DVD Player,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseElectric Vehicles,SCL,Multifamily - High Rise,Electric Vehicles,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeElectric Vehicles,SCL,Multifamily - High Rise Low Income,Electric Vehicles,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseElectric Vehicles,SCL,Multifamily - Low Rise,Electric Vehicles,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeElectric Vehicles,SCL,Multifamily - Low Rise Low Income,Electric Vehicles,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseElectric Vehicles,SCL,Multifamily - Mid Rise,Electric Vehicles,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
